url_vieja,url_nueva,campo,valor_viejo,valor_nuevo,severidad
/,/,title,SpaceDev | Web3 Development Services & Custom Software Solutions,SpaceDev | Blockchain Development Company & Web3 Experts,REVIEW
/,/,description,"SpaceDev is a blockchain development company offering web and mobile app development, and IT staff augmentation services for scalable growth.","Blockchain development company building Web3, web, and mobile products, with nearshore IT staff augmentation from LATAM. Let's build your product.",REVIEW
/,/,og:title,SpaceDev | Web3 Development Services & Custom Software Solutions,SpaceDev | Blockchain Development Company & Web3 Experts,WARN
/,/,og:description,"SpaceDev is a blockchain development company offering web and mobile app development, and IT staff augmentation services for scalable growth.","Blockchain development company building Web3, web, and mobile products, with nearshore IT staff augmentation from LATAM. Let's build your product.",WARN
/,/,og:image,https://framerusercontent.com/assets/KD9R4h94YxLSpWDK8gSxftGd7U.svg,https://spacedev.io/images/og-default.png,WARN
/,/,h1,Tech Partner.,Blockchain Development Company & Web3 Software Partner,WARN
/about-us,/about-us,title,About Us | SpaceDev,About SpaceDev | Nearshore Blockchain Development Team,REVIEW
/about-us,/about-us,description,"Learn more about SpaceDev, a leading tech company in Consulting and Software Development. Discover our mission, vision, and the team driving our success.","SpaceDev is a blockchain development company with 70+ engineers and 160+ products shipped. Meet the nearshore LATAM team behind secure, scalable software.",REVIEW
/about-us,/about-us,canonical,https://spacedev.io/about-us,https://spacedev.io/about-us/,INFO
/about-us,/about-us,og:title,About Us | SpaceDev,About SpaceDev | Nearshore Blockchain Development Team,WARN
/about-us,/about-us,og:description,"Learn more about SpaceDev, a leading tech company in Consulting and Software Development. Discover our mission, vision, and the team driving our success.","SpaceDev is a blockchain development company with 70+ engineers and 160+ products shipped. Meet the nearshore LATAM team behind secure, scalable software.",WARN
/about-us,/about-us,og:image,https://framerusercontent.com/assets/KD9R4h94YxLSpWDK8gSxftGd7U.svg,https://spacedev.io/images/og-default.png,WARN
/about-us,/about-us,h1,We are SpaceDev...,"We help startups and enterprises ship secure, scalable blockchain products without costly rewrites, delays, or architectural risks.",WARN
/author/diego-priliac,/author/diego-priliac,title,SpaceDev,Diego Priliac | COO at SpaceDev,REVIEW
/author/diego-priliac,/author/diego-priliac,description,"Unlock the future of technology with SpaceDev. We specialize in cutting-edge software development, AI integration, blockchain solutions, and more. Discover how we can elevate your business.","Diego leads operations at SpaceDev, building the systems and culture that turn talented engineers into a high-performing team. He believes the difference b",REVIEW
/author/diego-priliac,/author/diego-priliac,canonical,https://spacedev.io/author/diego-priliac,https://spacedev.io/author/diego-priliac/,INFO
/author/diego-priliac,/author/diego-priliac,og:title,SpaceDev,Diego Priliac | COO at SpaceDev,WARN
/author/diego-priliac,/author/diego-priliac,og:description,"Unlock the future of technology with SpaceDev. We specialize in cutting-edge software development, AI integration, blockchain solutions, and more. Discover how we can elevate your business.","Diego leads operations at SpaceDev, building the systems and culture that turn talented engineers into a high-performing team. He believes the difference b",WARN
/author/diego-priliac,/author/diego-priliac,og:image,https://framerusercontent.com/images/G6FrxHO2dL9IcgUw5RwkUELN6g.png,https://spacedev.io/images/og-default.png,WARN
/author/diego-priliac,/author/diego-priliac,h1,(ausente),Diego Priliac,WARN
/author/federico-sendra,/author/federico-sendra,title,SpaceDev,Federico Sendra | CEO & Co-founder at SpaceDev,REVIEW
